Posting Date,Account,Vendor Name,Memo,Amount,Curr
2026-01-15,5010,Piedmont Textiles,Cotton knit fabric - 500 yards,"12,400.00",USD
2026-01-15,5010,Piedmont Textiles,Cotton knit fabric - 500 yards,"12,400.00",USD
2026-01-18,6200,Werner Enterprises,FRT-INBD RM Q1,"3,250.00",USD
2026-01-20,6400,United Airlines,Corporate air travel - Q1,"8,900.00",USD
2026-01-22,5300,PG&E,Natural gas supply - Plant 2,"2,150.00",USD
2026-01-25,6100,Waste Management Inc,Waste hauling and disposal services,"1,080.00",USD
2026-01-28,5010,BoxCo,Corrugated packaging boxes,,USD
2026-01-30,7000,Chubb,Insurance premiums,"5,400.00",USD
2026-02-01,5010,Euro Fabrics GmbH,Linen fabric - EU sourced,"9,800.00",EUR
2026-02-03,6900,Bank of America,Card processing fee refund,"(320.00)",USD
2026-02-05,1500,Dell,Dell laptops for staff (50 units),"1,250,000.00",USD
2026-02-07,5010,MysteryVendor,,"640.00",USD
